DIVIPO,NIT,ORGANISMO,CATEGORIA,CIUDAD,DEPARTAMENTO,ESTADO
25754001,83003175701,SOACHA-CUNDINAMARCA (DPTAL) DPTAL,A,SOACHA,Cundinamarca,ACTIVO
15753001,89180106981,SOATA-BOYACA (DPTAL) DPTAL,A,SOATA,Boyaca,ACTIVO
68755000,,SOCORRO-SANTANDER (MCPAL) MCPAL,A,SOCORRO,Santander,ACTIVO
15759000,82600022641,SOGAMOSO-BOYACA (MCPAL) MCPAL,A,SOGAMOSO,Boyaca,ACTIVO
8758000,802021451,SOLEDAD-ATLANTICO (MCPAL) MCPAL,A,SOLEDAD,Atlantico,ACTIVO
5756000,890098035,SONSON-ANTIOQUIA (MCPAL) MCPAL,A,SONSON,Antioquia,ACTIVO
81794000,,TAME-ARAUCA (MCPAL) MCPAL,B,TAME,Arauca,ACTIVO
41807001,80011500531,TIMANA-HUILA (DPTAL) DPTAL,A,TIMANA,Huila,ACTIVO
19807000,,TIMBIO-CAUCA (MCPAL) MCPAL,A,TIMBIO,Cauca,ACTIVO
76834000,89190027211,TULUA-VALLE (MCPAL) MCPAL,A,TULUA,Valle del Cauca,ACTIVO
52835000,89120091621,TUMACO-NARIÑO (MCPAL) MCPAL,A,TUMACO,Narino,ACTIVO
15001000,80012260901,TUNJA-BOYACA (MCPAL) MCPAL,A,TUNJA,Boyaca,ACTIVO
52838000,80009915291,TUQUERRES-NARIÑO (MCPAL) MCPAL,A,TUQUERRES,Narino,ACTIVO
13836000,89048114901,TURBACO-BOLIVAR (MCPAL) MCPAL,A,TURBACO,Bolivar,ACTIVO
5837000,40390899,TURBO-ANTIOQUIA (MCPAL) MCPAL,A,TURBO,Antioquia,ACTIVO
25843000,89999928121,UBATE-CUNDINAMARCA (MCPAL) MCPAL,A,UBATE,Cundinamarca,ACTIVO
5847000,89090751541,URRAO-ANTIOQUIA (MCPAL) MCPAL,A,URRAO,Antioquia,ACTIVO
20001000,80009891181,VALLEDUPAR-CESAR (MCPAL) MCPAL,A,VALLEDUPAR,Cesar,ACTIVO
68861000,89020567761,VELEZ-SANTANDER (MCPAL) MCPAL,A,VELEZ,Santander,ACTIVO
15407001,89180106981,VILLA DE LEYVA-BOYACA (DPTAL ) DPTAL,A,VILLA DE LEYVA,Boyaca,ACTIVO
